A55; linfogranuloma de clamidia (venereum) ;;;;,A55; linfogranuloma de clamídia (venereum) ;;;;
A56; otras enfermedades de clamidia de transmisión sexual ;;;;,A56; outras doenças de clamídia sexualmente transmissíveis ;;;;;
A57; chancroid ;;;;,A57; Chancroid ;;;;
A58; granuloma inguinal ;;;;,A58; granuloma inguinal ;;;;;
A59; tricomoniasis ;;;;,A59; Tricomoníase ;;;;
A60; infecciones anogenitales herpesvirales [herpes simplex] ;;;;,A60; infecções anogenitárias herpesviral [herpes simplex] ;;;;
A63; Oth predominantemente enfermedades de transmisión sexual,A63; outras doenças transmissíveis predominantemente sexualmente
A64; enfermedad de transmisión sexual no especificada ;;;;,A64; doença sexualmente transmissível não especificada ;;;;;
A65; sífilis no veneal ;;;;,A65; sífilis não veneres ;;;;;
A66; tsis ;;;,A66; tsis ;;;
A67; Pinta [quilates] ;;;;,A67; Pinta [cará] ;;;;
A68; fiebres recurrentes ;;;;,A68; febres recorrentes ;;;;
A69; otras infecciones por espiroquetal ;;;;,A69; outras infecções espíricas ;;;;;
A70; infecciones de Chlamydia psittaci ;;;;,A70; Chlamydia Psittaci infecções ;;;;
A71; tracoma ;;;;,A71; trachoma ;;;;
A74; Otras enfermedades causadas por Chlamydiae ;;;;,A74; outras doenças causadas por Chlamydiae ;;;;
A75; Typhus Fever ;;;;,A75; febre do tifo ;;;;
A77; fiebre manchada [rickettsiosissiosis] ;;;;,A77; febre manchada [rickettsiosese nas arredores de carrapatos] ;;;;;
A78; Q Fever ;;;;,A78; q febre ;;;;
A79; otros rickettsiosis ;;;;,A79; outros rickettsioses ;;;;;
A80; poliomielitis aguda ;;;;,A80; poliomielite aguda ;;;;;
A81; infecciones atípicas del virus del sistema nervioso central ;;;;,A81; infecções por vírus atípicos do sistema nervoso central ;;;;;
A82; rabia ;;;;,A82; raiva ;;;;
A83; encefalitis viral transmitida por mosquitos ;;;;;,A83; encefalite viral transmitida por mosquito ;;;;;
A84; encefalitis viral transmitida por garrapatas ;;;;;,A84; encefalite viral transmitida por carrapatos ;;;;;
A85; Otra encefalitis viral,A85; outra encefalite viral
A86; encefalitis viral no especificada ;;;;;,A86; encefalite viral não especificada ;;;;;
A87; meningitis viral ;;;;,A87; meningite viral ;;;;
A88; Otras infecciones virales del sistema nervioso central,A88; outras infecções virais do sistema nervoso central
A89; infección viral no especificada del sistema nervioso central ;;;;,A89; infecção viral não especificada do sistema nervoso central ;;;;;
A90; Fiebre del dengue [dengue clásico] ;;;;,A90; dengue febre [dengue clássica] ;;;;
A91; fiebre hemorrágica del dengue ;;;;,A91; febre hemorrágica da dengue ;;;;;
A92; otras fiebres virales transmitidas por mosquitos ;;;;;,A92; outras febres virais transmitidas por mosquitos ;;;;;
A93; otras fiebres virales transmitidas por artrópodos,A93; outras febres virais transmitidas por artrópodes
A94; fiebre viral no especificada de artrópodos ;;;;,A94; febre viral não especificada por artrópodes ;;;;;
A95; fiebre amarilla ;;;;,A95; febre amarela ;;;;
A96; fiebre hemorrágica arenaviral ;;;;,A96; febre hemorrágica arenaviral ;;;;;
A98; Otras fiebres hemorrágicas virales,A98; outras febres hemorrágicas virais
A99; fiebre hemorrágica viral no especificada ;;;;,A99; febre hemorrágica viral não especificada ;;;;;
B00; Herpesviral [herpes simple] infecciones ;;;;,B00; infecções por herpesviral [herpes simplex] ;;;;;
B01; Varicella [varicela] ;;;;,B01; varicela [varicela] ;;;;;
B02; Zoster [Herpes Zoster] ;;;;,B02; Zoster [Herpes Zoster] ;;;;
B03; viruela ;;;;,B03; varíola ;;;;;
B04; Monkeypox ;;;;,B04; MONKEYPOX ;;;;
B05; sarampión ;;;;,B05; sarampo ;;;;
B06; rubella [sarampión alemana] ;;;;,B06; Rubella [sarampo alemão] ;;;;;
B07; verrugas virales ;;;;,B07; verrugas virais ;;;;
B08; Oth Viral Infect con la piel y las lesiones de membrana mucosa,B08; OTH infecto viral com lesões de pele e mucosa
B09; Infección viral de UNSP con piel y lesiones de membrana mucosa ;;;;;,B09; infecção viral UNSP com lesões de pele e mucosa;
B10; otros herpesvirus humanos ;;;;,B10; outros herpesvírus humanos ;;;;;
B15; Hepatitis A aguda A ;;;;,B15; hepatite aguda A ;;;;
B16; hepatitis aguda B ;;;;,B16; hepatite aguda B ;;;;;
B17; otra hepatitis viral aguda ;;;;,B17; outra hepatite viral aguda ;;;;;
B18; hepatitis viral crónica ;;;;,B18; hepatite viral crônica ;;;;;
B19; hepatitis viral no especificada ;;;;,B19; hepatite viral não especificada ;;;;;
B20; enfermedad del virus de inmunodeficiencia humana [VIH] ;;;;,B20; doença do vírus da imunodeficiência humana [HIV] ;;;;;
B25; enfermedad citomegaloviral ;;;;,B25; doença citomegaloviral ;;;;;
B26; paperas ;;;;,B26; caxumba ;;;;
B27; mononucleosis infecciosa ;;;;,B27; mononucleose infecciosa ;;;;;
B30; conjuntivitis viral ;;;;,B30; conjuntivite viral ;;;;
B33; otras enfermedades virales,B33; outras doenças virais
B34; infección viral del sitio no especificado ;;;;;,B34; infecção viral do local não especificado ;;;;
B35; dermatoftosis ;;;;,B35; dermatofitose ;;;;;
B36; otras micosis superficiales ;;;;,B36; outras micoses superficiais ;;;;;
B37; candidiasis ;;;;,B37; Candidíase ;;;;
B38; coccidioidomicosis ;;;;,B38; coccidioidomicose ;;;;;
B39; histoplasmosis ;;;;,B39; histoplasmose ;;;;
B40; Blastomicosis ;;;;,B40; Blastomicose ;;;;
B41; paracoccidioidomicosis ;;;;,B41; paracoccidioidomicose ;;;;;
B42; esporotrichosis ;;;;,B42; esporotricose ;;;;;
B43; cromomicisis y abscesos de feomicóticos ;;;;;,B43; cromomicose e abscesso feomicótico ;;;;;
B44; aspergilosis ;;;;,B44; aspergilose ;;;;
B45; criptococosis ;;;;,B45; criptococose ;;;;
B46; Zigomicosis ;;;;,B46; Zygomicose ;;;;
B47; Micetoma ;;;;,B47; Mycetoma ;;;;
B48; otras micosis,B48; outras micoses
B49; micosis no especificada ;;;;,B49; micose não especificada ;;;;;
B50; Plasmodium falciparum malaria ;;;;,B50; Plasmodium falciparum malária ;;;;
B51; Plasmodium vivax malaria ;;;;,B51; Plasmodium vivax malária ;;;;
B52; Plasmodium malariae malaria ;;;;,B52; Plasmodium malariae malária ;;;;;
B53; otra malaria especificada ;;;;,B53; outra malária especificada ;;;;
B54; malaria no especificada ;;;;,B54; malária não especificada ;;;;;
B55; Leishmaniasis ;;;;,B55; Leishmaniose ;;;;
B56; tripanosomiasis africana ;;;;,B56; tripanossomíase africana ;;;;;
B57; enfermedad de Chagas ;;;;,B57; doença de Chagas ;;;;;
B58; toxoplasmosis ;;;;,B58; Toxoplasmose ;;;;;
B59; neumocistados ;;;;,B59; pneumocistose ;;;;;
B60; otras enfermedades de protozoos,B60; outras doenças protozoárias
B64; enfermedad de protozoos no especificada ;;;;,B64; doença protozoal não especificada ;;;;;
B65; esquistosomiasis [bilharziasis] ;;;;,B65; esquistossomíase [bilarzíase] ;;;;;
B66; otras infecciones de Fluke ;;;;,B66; outras infecções por fluke ;;;;
B67; equinococcosis ;;;;,B67; Echinocococose ;;;;;
B68; película; ???,B68; filme; ???
B69; cisticercosis ;;;;,B69; cisticercose ;;;;
B70; Diphyllobotriasis y Sparganosis ;;;;,B70; Diphyllobotrinsis and Sparganisis ;;;;;
B71; otras infecciones de Cestode ;;;;,B71; outras infecções por Cestode ;;;;
B72; dracuncuziasis ;;;;,B72; dracuzíase ;;;;;
B73;Onchocerciasis;;;;,B73; oncocercose ;;;;;;
B74; filariasis ;;;;,B74; filariose ;;;;
B75; Trichinelosis ;;;;,B75; Tricelelose ;;;;
B76; enfermedades de anquilostoma ;;;;,B76; doenças de ancilostomíase ;;;;
B77; Ascariasis ;;;;,B77; ascaríase ;;;;
B78; ronda ????,B78; redonda ????
B79; tricuriasis ;;;;,B79; Trichuriase ;;;;
B80; enterobiasis ;;;;,B80; enterobíase ;;;;
B81; otras helmintiases intestinales,B81; outros helminthias intestinais
B82; parasitismo intestinal no especificado ;;;;;,B82; parasitismo intestinal não especificado ;;;;;
B83; otras helmintiases ;;;;,B83; outros helminthiases ;;;;
B85; pediculosis y ftiriasis ;;;;,B85; pediculose e ftiríase ;;;;
B86; snarting ;;;;,B86; sarna ;;;;
Bt7; músculo; ???,Bt7; músculo; ???
B88; otras infestaciones ;;;;,B88; outras infestações ;;;;
B89; enfermedad parásita no especificada ;;;;,B89; doença parasitária não especificada ;;;;;
B90; secuelas de tuberculosis ;;;;,B90; sequelas de tuberculose ;;;;;
B91; secuelas de poliomielitis ;;;;,B91; sequelas de poliomielite ;;;;;
B92; secuelas de lepra ;;;;,B92; sequelas da hanseníase ;;;;;
B94; secuelas de otras enfermedades infecciosas y parasitarias no PS ;;;;,B94; sequelas de outras doenças infecciosas e parasitárias e não sp;
B95; Strep como causa de enfermedades clasificadas en otra parte ;;;;,B95; Strep como a causa de doenças classificadas em outros lugares ;;;;
B96; Otros agentes bacterianos como la causa de las enfermedades classd elswhr ;;;;,B96; outros agentes bacterianos como a causa das doenças classd elswhr ;;;;
B97; agentes virales como la causa de las enfermedades clasificadas en otra parte ;;;;,B97; agentes virais como a causa de doenças classificadas em outros lugares ;;;;
B99; otras enfermedades infecciosas y no especificadas ;;;;,B99; outras doenças infecciosas e não especificadas ;;;;;
C00; neoplasia maligna de labio ;;;;,C00; neoplasia maligna do lábio ;;;;
C01; neoplasia maligna de la base de la lengua ;;;;,C01; neoplasia maligna da base da língua ;;;;
C02; neoplasia maligno de otras partes y no especificadas de la lengua ;;;;,C02; neoplasia maligna de outras partes e não especificadas da língua ;;;;
C03; neoplasia maligna de goma ;;;;,C03; neoplasia maligna da goma ;;;;
C04; neoplasia maligno de la boca ;;;;,C04; neoplasia maligna do piso da boca ;;;;
C05; neoplasia maligno del paladar ;;;;,C05; neoplasia maligna do palato ;;;;
C06; neoplasia maligna de otras partes y no especificadas de la boca ;;;;,C06; neoplasia maligna de outras partes da boca e não especificadas ;;;;;
C07; neoplasia maligna de la glándula parótida ;;;;;,C07; neoplasia maligna da glândula parótida ;;;;;
C08; neoplasia maligna de otras glándulas salivales principales y no PSP ;;;;,C08; neoplasia maligna de outras e não espistas das principais glândulas salivares ;;;;
C09; neoplasia maligno de amígdalas ;;;;,C09; neoplasia maligna da amígdala ;;;;
C10; neoplasia maligna de Orofarynx ;;;;,C10; neoplasia maligna da orofaringe ;;;;
C11; neoplasia maligna de Nasopharynx ;;;;;,C11; neoplasia maligna da nasofaringe ;;;;;
C12; neoplasia maligno del seno piriforme ;;;;,C12; neoplasia maligna do seio piriforme ;;;;;
C13; neoplasia maligna de hipofaringe ;;;;;,C13; neoplasia maligna da hipofaringe ;;;;;
C14; neoplasia malig de sitios en el labio,C14; neoplasia Malig de locais no lábio
C15; neoplasma maligno del esófago ;;;;,C15; neoplasia maligna do esôfago ;;;;
C16; neoplasia maligna del estómago ;;;;,C16; neoplasia maligna do estômago ;;;;
C17; neoplasia maligna del intestino delgado ;;;;;,C17; neoplasia maligna do intestino delgado ;;;;
C18; neoplasia maligno de colon ;;;;,C18; neoplasia maligna do cólon ;;;;
C19; neoplasia maligno de la unión rectosigmoidea ;;;;;,C19; neoplasia maligna da junção retoposigmóide ;;;;;
C20; neoplasia maligna de recto ;;;;,C20; neoplasia maligna do reto ;;;;
C21; neoplasia maligna de ano y canal anal ;;;;;,C21; neoplasia maligna do ânus e canal anal ;;;;
C22; neoplasia maligna de conductos biliares hepáticos e intrahepáticos ;;;;,C22; neoplasia maligna do fígado e ductos biliares intra -hepáticos ;;;;
C23; neoplasia maligna de la vesícula biliar ;;;;,C23; neoplasia maligna da vesícula biliar ;;;;
C24; neoplasia maligna de otras partes y un UNSP del tracto biliar ;;;;,C24; neoplasia maligna de outras partes e não sp do trato biliar ;;;;
C25; neoplasia maligna del páncreas ;;;;,C25; neoplasia maligna do pâncreas ;;;;
C26; neoplasia maligna de otros órganos digestivos y mal definidos ;;;;;,C26; neoplasia maligna de outros órgãos digestivos e mal definidos ;;;;
C30; neoplasia maligna de la cavidad nasal y el oído medio ;;;;;,C30; neoplasia maligna da cavidade nasal e ouvido médio ;;;;
C31; neoplasia maligno de senos accesorios ;;;;,C31; neoplasia maligna dos seios acessórios ;;;;;
C32; neoplasia maligna de Larynx ;;;;,C32; neoplasia maligna da laringe ;;;;;
C33; neoplasia maligna de tráquea ;;;;,C33; neoplasia maligna da traquéia ;;;;
C34; neoplasia maligna de Bronchus y pulmón ;;;;;,C34; neoplasia maligna de Bronchus e pulmão ;;;;
C37; neoplasma maligno de timo ;;;;,C37; neoplasia maligna do timo ;;;;
C38; neoplasma maligno del corazón,C38; neoplasia maligna do coração
C39; malig neoplm de sitios en los órganos de los SYS y Intrathorac ;;;;,C39; Malig NeoplM de locais nos órgãos resp e intratorac ;;;;;
C40; neoplasia maligna del hueso y el cartílago articular de las extremidades ;;;;,C40; neoplasia maligna do osso e cartilagem articular de membros ;;;;
C41; neoplasia maligna de hueso/Cartl artic y sitios de UNSP ;;;;,C41; neoplasia maligna de ósseo/cartl artic de e unsp sites ;;;;
C43; melanoma maligno de la piel ;;;;,C43; melanoma maligno da pele ;;;;;
C4a; carcinoma de células Merkel ;;;;,C4A; carcinoma de células Merkel ;;;;;
C44; otra y no especificada neoplasia maligna de la piel ;;;;,C44; outra e não especificada neoplasia maligna da pele ;;;;
C45; mesotelioma ;;;;,C45; Mesotelioma ;;;;
C46; Sarcoma de Capos ;;;;,C46; sarcoma de Capa ;;;;;
C 47; neoplasia maligna de nervios PRPH y sistema nervioso autónomo ;;;;,C 47; neoplasia maligna dos nervos PRPH e sistema nervoso autonômico ;;;;;
C48; neoplasia maligna de retroperitoneo y peritoneo ;;;;;,C48; neoplasia maligna de retroperitônio e peritônio ;;;;
C49; neoplasia maligna de otros tejidos conectivos y blandos ;;;;;,C49; neoplasia maligna de outros tecidos conjuntivos e moles ;;;;
C50; neoplasia maligna del seno ;;;;,C50; neoplasia maligna da mama ;;;;;
C51; neoplasia maligna de vulva ;;;;,C51; neoplasia maligna da vulva ;;;;
C52; neoplasia maligna de la vagina ;;;;,C52; neoplasia maligna da vagina ;;;;
C53; neoplasia maligna de Cervix Uteri ;;;;,C53; neoplasia maligna do colo do útero ;;;;;
C54; neoplasia maligna de Corpus uteri ;;;;,C54; neoplasia maligna de corpus uteri ;;;;
C55; neoplasma maligno del útero,C55; neoplasia maligna do útero
C56; neoplasia maligno del ovario ;;;;,C56; neoplasia maligna do ovário ;;;;
C57; neoplasia maligna de otros órganos genitales femeninos y no PSP ;;;;;,C57; neoplasia maligna de outros e unsp femininos órgãos genitais ;;;;;
C58; neoplasia maligna de placenta ;;;;,C58; neoplasia maligna da placenta ;;;;
C60; neoplasia maligno de pene ;;;;,C60; neoplasia maligna do pênis ;;;;
C61; neoplasia maligna de próstata ;;;;,C61; neoplasia maligna da próstata ;;;;
C62; neoplasia maligna de testículos ;;;;,C62; neoplasia maligna de testicular ;;;;
C63; neoplasia maligna de otros órganos genitales masculinos y sin PSP ;;;;;,C63; neoplasia maligna de outros e unsp masculinos órgãos genitais masculinos ;;;;;
C64; neoplasma maligno de riñón,C64; neoplasia maligna do rim
C65; neoplasia maligna de la pelvis renal ;;;;;,C65; neoplasia maligna da pelve renal ;;;;;
C66; neoplasia maligna de Ureter ;;;;,C66; neoplasia maligna de ureter ;;;;
C67; neoplasia maligno de la vejiga ;;;;,C67; neoplasia maligna da bexiga ;;;;
C68; neoplasia maligna de otros órganos urinarios y no especificados ;;;;,C68; neoplasia maligna de outros órgãos urinários e não especificados ;;;;
C69; neoplasia maligno de ojo y adnexa ;;;;;,C69; neoplasia maligna de olho e adexa ;;;;;
C70; neoplasia maligna de Meninges ;;;;,C70; neoplasia maligna de meninges ;;;;
C71; neoplasia maligna del cerebro ;;;;,C71; neoplasia maligna do cérebro ;;;;
C72; malig neoplm de la médula espinal,C72; Malig NeoplM da medula espinhal
C73; neoplasia maligna de la glándula tiroides ;;;;,C73; neoplasia maligna da glândula tireóide ;;;;;
C74; neoplasia maligna de la glándula suprarrenal ;;;;;,C74; neoplasia maligna da glândula adrenal ;;;;;
C75; neoplasia maligna de glándulas endo y estructuras relacionadas ;;;;;,C75; neoplasia maligna das glândulas endo e estruturas relacionadas ;;;;
C7a; tumores neuroendocrinos malignos ;;;;,C7a; tumores neuroendócrinos malignos ;;;;;
C7B; tumores neuroendocrinos secundarios ;;;;,C7B; tumores neuroendócrinos secundários ;;;;;
C76; neoplasia maligno de otros sitios y mal definidos ;;;;;,C76; neoplasia maligna de outros sites e mal definidos ;;;;
C77; neoplasia maligna secundaria y no especificada de ganglios linfáticos ;;;;,C77; neoplasia maligna secundária e não especificada dos linfonodos ;;;;;
C78; neoplasia maligna secundaria de los órganos respiros y digestivos ;;;;;,C78; neoplasia maligna secundária dos órgãos resp e digestivos ;;;;;
C79; neoplasia maligna secundaria de otros sitios y sitios no especificados ;;;;,C79; neoplasia maligna secundária de outros sites e não especificados ;;;;
C80; neoplasia maligno sin especificación del sitio ;;;;,C80; neoplasia maligna sem especificação do local ;;;;
C81; linfoma de Hodgkin ;;;;,C81; linfoma de Hodgkin ;;;;;
C82; linfoma folicular ;;;;,C82; linfoma folicular ;;;;;
C83; linfoma no folicular ;;;;;,C83; linfoma não passicular ;;;;;
C84; linfomas maduros T/NK-célula ;;;;;,C84; linfomas maduros de células T/NK ;;;;;
C85; Oth y tipos no especificados de linfoma no Hodgkin ;;;;,C85; OTH e tipos não especificados de linfoma não-hodgkin ;;;;;
C86; otros tipos especificados de linfoma T/NK-célula ;;;;;,C86; outros tipos especificados de linfoma de células T/NK ;;;;;
C88; malig inmunoproliferativo y cierta y cierta linfa de células B ;;;;;,C88; Malig imunoproliferativo dis e certa e certa linfa de células B ;;;;;;
C90; mieloma múltiple y neoplasias de células plasmáticas malignas ;;;;;,C90; mieloma múltiplo e neoplasias de células plasmáticas malignas ;;;;;
C91; leucemia linfoidea ;;;;,C91; leucemia linfóide ;;;;;
C92; leucemia mieloide ;;;;,C92; leucemia mielóide ;;;;;
C93; leucemia monocítica ;;;;,C93; leucemia monocítica ;;;;;
C94; otras leucemias del tipo de célula especificada ;;;;,C94; outras leucemias do tipo de célula especificado ;;;;
C95; leucemia del tipo de célula no especificada ;;;;,C95; Leucemia do tipo de célula não especificado ;;;;
C96; OTH & Unsp Malig Neoplm de linfoides,C96; OTH & UNSP MALIG NEOPLM DE Linfóide
D00; carcinoma in situ de cavidad oral,D00; carcinoma in situ de cavidade oral
D01; carcinoma in situ de otros órganos digestivos no especificados ;;;;;,D01; carcinoma in situ de outros órgãos digestivos não especificados ;;;;;
D02; carcinoma in situ de oído medio y sistema respiratorio ;;;;;,D02; carcinoma in situ de ouvido médio e sistema respiratório ;;;;
D03; melanoma in situ ;;;;,D03; melanoma in situ ;;;;
D04; Carcinoma in situ de la piel ;;;;,D04; carcinoma in situ da pele ;;;;
D05; carcinoma in situ de seno ;;;;,D05; carcinoma in situ da mama ;;;;
D06; Carcinoma in situ de Cervix Uteri ;;;;;,D06; carcinoma in situ do colo do útero ;;;;;
D07; carcinoma in situ de otros órganos genitales y no especificados ;;;;;,D07; carcinoma in situ de outros órgãos genitais e não especificados ;;;;;
D09; carcinoma in situ de otros sitios y no especificados ;;;;;,D09; carcinoma in situ de outros sites e não especificados ;;;;
D10; neoplasia benigna de boca y faringe ;;;;;,D10; neoplasia benigna da boca e faringe ;;;;
D11; neoplasia benigna de las principales glándulas salivales ;;;;,D11; neoplasia benigna das principais glândulas salivares ;;;;;
D12; neoplasma benigna del colon,D12; neoplasia benigna do cólon
D13; neoplasia benigna de y partes mal definidas del sistema digestivo ;;;;,D13; neoplasia benigna de e partes mal definidas do sistema digestivo ;;;;
D14; neoplasia benigna del oído medio y sistema respiratorio ;;;;;,D14; neoplasia benigna do ouvido médio e do sistema respiratório ;;;;;
D15; neoplasia benigna de otros órganos intratorácicos de PSP y UNSP ;;;;;,D15; neoplasia benigna de outros órgãos intratorácicos e não sp;
D16; neoplasia benigna del cartílago hueso y articular ;;;;;,D16; neoplasia benigna do osso e cartilagem articular ;;;;;
D17; neoplasia lipomatosa benigna ;;;;,D17; neoplasia lipomatosa benigna ;;;;;
D18; hemangioma y linfangioma,D18; hemangioma e linfangioma
D19; Neoplasia benigna del tejido mesotelial ;;;;;,D19; neoplasia benigna do tecido mesotelial ;;;;;
D20; neoplm benigno de tejido blando de retroperitón y peritoneo ;;;;;,D20; neoplos benignos de tecido mole de retroperiton e peritônio ;;;;
D21; otras neoplasias benignas de tejidos conectivos y otros tejidos blandos ;;;;;,D21; outras neoplasias benignas do conjunto conjuntivo e outros tecidos moles ;;;;
D22; nevi melanocítico ;;;;,D22; nevo melanocítico ;;;;;
D23; otras neoplasias benignas de la piel ;;;;,D23; outras neoplasias benignas da pele ;;;;
D24; neoplasia benigna del seno ;;;;,D24; neoplasia benigna da mama ;;;;;
D25; leiomioma de útero ;;;;,D25; leiomioma do útero ;;;;;
D26; Otras neoplasias benignas del útero ;;;;,D26; outras neoplasias benignas do útero ;;;;
D27; neoplasia benigna del ovario ;;;;,D27; neoplasia benigna do ovário ;;;;
D28; neoplasia benigna de otros órganos genitales femeninos y no PSP ;;;;;,D28; neoplasia benigna de outros e unsp femininos órgãos genitais ;;;;;
D29; neoplasia benigna de órganos genitales masculinos ;;;;;,D29; neoplasia benigna de órgãos genitais masculinos ;;;;;
D30; neoplasia benigna de los órganos urinarios ;;;;,D30; neoplasia benigna de órgãos urinários ;;;;;
D31; neoplasia benigna de ojo y adnexa ;;;;;,D31; neoplasia benigna de olho e adexa ;;;;;
D32; neoplasia benigna de Meninges ;;;;,D32; neoplasia benigna de meninges ;;;;
D33; neoplasia benigna del cerebro y oth PRT Sistema nervioso central ;;;;,D33; neoplasia benigna do cérebro e do sistema nervoso central de PRT ;;;;;
D34; neoplasia benigna de la glándula tiroides ;;;;,D34; neoplasia benigna da glândula tireóide ;;;;;
D35; neoplasia benigna de otras glándulas endocrinas y no especificadas ;;;;,D35; neoplasia benigna de outras glândulas endócrinas e não especificadas ;;;;;
D36; neoplasia benigna de otros sitios y no especificados ;;;;;,D36; neoplasia benigna de outros sites e não especificados ;;;;;
D3a; tumores neuroendocrinos benignos ;;;;,D3a; tumores neuroendócrinos benignos ;;;;;
D37; neoplasia del comportamiento de uncrt de la cavidad oral y los órganos DGSTV ;;;;,D37; neoplasia do comportamento UNCRT da cavidade oral e dos órgãos DGSTV ;;;;
D38; neoplm de un comportamiento uncrt del oído medio y resp e intrathorac org ;;;;,D38; neoplas de comportamento não -médio e resp e intratorac org ;;;;
D39; neoplasia de comportamiento incierto de los órganos genitales femeninos ;;;;;,D39; neoplasia do comportamento incerto dos órgãos genitais femininos ;;;;
D40; neoplasia de comportamiento incierto de los órganos genitales masculinos ;;;;;,D40; neoplasia do comportamento incerto dos órgãos genitais masculinos ;;;;;
D41; neoplasia de comportamiento incierto de los órganos urinarios ;;;;;,D41; neoplasia do comportamento incerto dos órgãos urinários ;;;;;
D42; neoplasia de comportamiento incierto de meninges ;;;;,D42; neoplasia do comportamento incerto de meninges ;;;;
D43; neoplasia de comportamiento incierto del cerebro y CNSL ;;;;;,D43; neoplasia do comportamento incerto do cérebro e CNSL ;;;;
D44; neoplasia de comportamiento incierto de las glándulas endocrinas ;;;;;,D44; neoplasia do comportamento incerto das glândulas endócrinas ;;;;;
D45; policitemia vera ;;;;,D45; policitemia vera ;;;;
D46; síndromes mielodisplásicos ;;;;,D46; síndromes mielodisplásicas ;;;;;
D47; Oth Neoplm of Uncrt Behave de linfoides,D47; oth neoplM de comportamento não -linfóide
D48; neoplasia de comportamiento incierto de otros sitios y sitios no PSP ;;;;;,D48; neoplasia do comportamento incerto de outros e unidades sites ;;;;;
D49; neoplasias de comportamiento no especificado ;;;;,D49; neoplasias de comportamento não especificado ;;;;
D50; anemia de deficiencia de hierro ;;;;,D50; anemia de deficiência de ferro ;;;;
D51; anemia de deficiencia de vitamina B12 ;;;;,D51; Anemia de deficiência de vitamina B12 ;;;;
D52; anemia de deficiencia de folato ;;;;,D52; anemia de deficiência de folato ;;;;;
D53; otras anemias nutricionales ;;;;,D53; outras anemias nutricionais ;;;;;
D55; anemia debido a trastornos enzimáticos ;;;;;,D55; anemia devido a distúrbios enzimáticos ;;;;;
